pref_code,pref_name,muni_code,muni_name,party_name,votes
39,高知県,39201,高知市,日本保守党,4112
39,高知県,39201,高知市,中道改革連合,27125
39,高知県,39201,高知市,参政党,12084
39,高知県,39201,高知市,日本共産党,12069
39,高知県,39201,高知市,日本維新の会,7636
39,高知県,39201,高知市,国民民主党,12588
39,高知県,39201,高知市,社会民主党,1897
39,高知県,39201,高知市,自由民主党,50822
39,高知県,39201,高知市,れいわ新選組,4539
39,高知県,39202,室戸市,日本保守党,111
39,高知県,39202,室戸市,中道改革連合,1069
39,高知県,39202,室戸市,参政党,401
39,高知県,39202,室戸市,日本共産党,211
39,高知県,39202,室戸市,日本維新の会,229
39,高知県,39202,室戸市,国民民主党,247
39,高知県,39202,室戸市,社会民主党,64
39,高知県,39202,室戸市,自由民主党,2063
39,高知県,39202,室戸市,れいわ新選組,160
39,高知県,39203,安芸市,日本保守党,175
39,高知県,39203,安芸市,中道改革連合,1400
39,高知県,39203,安芸市,参政党,711
39,高知県,39203,安芸市,日本共産党,586
39,高知県,39203,安芸市,日本維新の会,335
39,高知県,39203,安芸市,国民民主党,500
39,高知県,39203,安芸市,社会民主党,114
39,高知県,39203,安芸市,自由民主党,2842
39,高知県,39203,安芸市,れいわ新選組,234
39,高知県,39204,南国市,日本保守党,572
39,高知県,39204,南国市,中道改革連合,3791
39,高知県,39204,南国市,参政党,1853
39,高知県,39204,南国市,日本共産党,1462
39,高知県,39204,南国市,日本維新の会,1219
39,高知県,39204,南国市,国民民主党,1725
39,高知県,39204,南国市,社会民主党,353
39,高知県,39204,南国市,自由民主党,7646
39,高知県,39204,南国市,れいわ新選組,705
39,高知県,39211,香南市,日本保守党,424
39,高知県,39211,香南市,中道改革連合,3049
39,高知県,39211,香南市,参政党,1461
39,高知県,39211,香南市,日本共産党,937
39,高知県,39211,香南市,日本維新の会,838
39,高知県,39211,香南市,国民民主党,1237
39,高知県,39211,香南市,社会民主党,190
39,高知県,39211,香南市,自由民主党,5967
39,高知県,39211,香南市,れいわ新選組,524
39,高知県,39212,香美市,日本保守党,289
39,高知県,39212,香美市,中道改革連合,2310
39,高知県,39212,香美市,参政党,1025
39,高知県,39212,香美市,日本共産党,1220
39,高知県,39212,香美市,日本維新の会,653
39,高知県,39212,香美市,国民民主党,950
39,高知県,39212,香美市,社会民主党,165
39,高知県,39212,香美市,自由民主党,4823
39,高知県,39212,香美市,れいわ新選組,445
39,高知県,39301,東洋町,日本保守党,10
39,高知県,39301,東洋町,中道改革連合,216
39,高知県,39301,東洋町,参政党,72
39,高知県,39301,東洋町,日本共産党,38
39,高知県,39301,東洋町,日本維新の会,66
39,高知県,39301,東洋町,国民民主党,39
39,高知県,39301,東洋町,社会民主党,6
39,高知県,39301,東洋町,自由民主党,467
39,高知県,39301,東洋町,れいわ新選組,26
39,高知県,39302,奈半利町,日本保守党,16
39,高知県,39302,奈半利町,中道改革連合,254
39,高知県,39302,奈半利町,参政党,93
39,高知県,39302,奈半利町,日本共産党,84
39,高知県,39302,奈半利町,日本維新の会,63
39,高知県,39302,奈半利町,国民民主党,81
39,高知県,39302,奈半利町,社会民主党,16
39,高知県,39302,奈半利町,自由民主党,589
39,高知県,39302,奈半利町,れいわ新選組,20
39,高知県,39303,田野町,日本保守党,35
39,高知県,39303,田野町,中道改革連合,237
39,高知県,39303,田野町,参政党,98
39,高知県,39303,田野町,日本共産党,137
39,高知県,39303,田野町,日本維新の会,50
39,高知県,39303,田野町,国民民主党,88
39,高知県,39303,田野町,社会民主党,15
39,高知県,39303,田野町,自由民主党,458
39,高知県,39303,田野町,れいわ新選組,34
39,高知県,39304,安田町,日本保守党,18
39,高知県,39304,安田町,中道改革連合,228
39,高知県,39304,安田町,参政党,81
39,高知県,39304,安田町,日本共産党,76
39,高知県,39304,安田町,日本維新の会,48
39,高知県,39304,安田町,国民民主党,76
39,高知県,39304,安田町,社会民主党,12
39,高知県,39304,安田町,自由民主党,548
39,高知県,39304,安田町,れいわ新選組,26
39,高知県,39305,北川村,日本保守党,14
39,高知県,39305,北川村,中道改革連合,138
39,高知県,39305,北川村,参政党,71
39,高知県,39305,北川村,日本共産党,40
39,高知県,39305,北川村,日本維新の会,25
39,高知県,39305,北川村,国民民主党,43
39,高知県,39305,北川村,社会民主党,13
39,高知県,39305,北川村,自由民主党,291
39,高知県,39305,北川村,れいわ新選組,25
39,高知県,39306,馬路村,日本保守党,7
39,高知県,39306,馬路村,中道改革連合,73
39,高知県,39306,馬路村,参政党,33
39,高知県,39306,馬路村,日本共産党,18
39,高知県,39306,馬路村,日本維新の会,17
39,高知県,39306,馬路村,国民民主党,31
39,高知県,39306,馬路村,社会民主党,11
39,高知県,39306,馬路村,自由民主党,232
39,高知県,39306,馬路村,れいわ新選組,15
39,高知県,39307,芸西村,日本保守党,43
39,高知県,39307,芸西村,中道改革連合,248
39,高知県,39307,芸西村,参政党,149
39,高知県,39307,芸西村,日本共産党,136
39,高知県,39307,芸西村,日本維新の会,77
39,高知県,39307,芸西村,国民民主党,114
39,高知県,39307,芸西村,社会民主党,27
39,高知県,39307,芸西村,自由民主党,672
39,高知県,39307,芸西村,れいわ新選組,48
39,高知県,39341,本山町,日本保守党,19
39,高知県,39341,本山町,中道改革連合,300
39,高知県,39341,本山町,参政党,117
39,高知県,39341,本山町,日本共産党,144
39,高知県,39341,本山町,日本維新の会,60
39,高知県,39341,本山町,国民民主党,98
39,高知県,39341,本山町,社会民主党,32
39,高知県,39341,本山町,自由民主党,790
39,高知県,39341,本山町,れいわ新選組,56
