pref_code,district_num,district_code,district_name,pref_name,block_id,block_name
16,2,1602,富山2区,富山県,6,北陸信越
16,3,1603,富山3区,富山県,6,北陸信越
17,1,1701,石川1区,石川県,6,北陸信越
17,2,1702,石川2区,石川県,6,北陸信越
17,3,1703,石川3区,石川県,6,北陸信越
18,1,1801,福井1区,福井県,6,北陸信越
18,2,1802,福井2区,福井県,6,北陸信越
19,1,1901,山梨1区,山梨県,7,東海
19,2,1902,山梨2区,山梨県,7,東海
20,1,2001,長野1区,長野県,6,北陸信越
20,2,2002,長野2区,長野県,6,北陸信越
20,3,2003,長野3区,長野県,6,北陸信越
20,4,2004,長野4区,長野県,6,北陸信越
20,5,2005,長野5区,長野県,6,北陸信越
21,1,2101,岐阜1区,岐阜県,7,東海
21,2,2102,岐阜2区,岐阜県,7,東海
21,3,2103,岐阜3区,岐阜県,7,東海
21,4,2104,岐阜4区,岐阜県,7,東海
21,5,2105,岐阜5区,岐阜県,7,東海
22,1,2201,静岡1区,静岡県,7,東海
22,2,2202,静岡2区,静岡県,7,東海
22,3,2203,静岡3区,静岡県,7,東海
22,4,2204,静岡4区,静岡県,7,東海
22,5,2205,静岡5区,静岡県,7,東海
22,6,2206,静岡6区,静岡県,7,東海
22,7,2207,静岡7区,静岡県,7,東海
22,8,2208,静岡8区,静岡県,7,東海
23,1,2301,愛知1区,愛知県,7,東海
23,2,2302,愛知2区,愛知県,7,東海
23,3,2303,愛知3区,愛知県,7,東海
23,4,2304,愛知4区,愛知県,7,東海
23,5,2305,愛知5区,愛知県,7,東海
23,6,2306,愛知6区,愛知県,7,東海
23,7,2307,愛知7区,愛知県,7,東海
23,8,2308,愛知8区,愛知県,7,東海
23,9,2309,愛知9区,愛知県,7,東海
23,10,2310,愛知10区,愛知県,7,東海
23,11,2311,愛知11区,愛知県,7,東海
23,12,2312,愛知12区,愛知県,7,東海
23,13,2313,愛知13区,愛知県,7,東海
23,14,2314,愛知14区,愛知県,7,東海
23,15,2315,愛知15区,愛知県,7,東海
23,16,2316,愛知16区,愛知県,7,東海
24,1,2401,三重1区,三重県,7,東海
24,2,2402,三重2区,三重県,7,東海
24,3,2403,三重3区,三重県,7,東海
24,4,2404,三重4区,三重県,7,東海
25,1,2501,滋賀1区,滋賀県,8,近畿
25,2,2502,滋賀2区,滋賀県,8,近畿
25,3,2503,滋賀3区,滋賀県,8,近畿
26,1,2601,京都1区,京都府,8,近畿
26,2,2602,京都2区,京都府,8,近畿
26,3,2603,京都3区,京都府,8,近畿
26,4,2604,京都4区,京都府,8,近畿
26,5,2605,京都5区,京都府,8,近畿
26,6,2606,京都6区,京都府,8,近畿
27,1,2701,大阪1区,大阪府,8,近畿
27,2,2702,大阪2区,大阪府,8,近畿
27,3,2703,大阪3区,大阪府,8,近畿
27,4,2704,大阪4区,大阪府,8,近畿
27,5,2705,大阪5区,大阪府,8,近畿
27,6,2706,大阪6区,大阪府,8,近畿
27,7,2707,大阪7区,大阪府,8,近畿
27,8,2708,大阪8区,大阪府,8,近畿
27,9,2709,大阪9区,大阪府,8,近畿
27,10,2710,大阪10区,大阪府,8,近畿
27,11,2711,大阪11区,大阪府,8,近畿
27,12,2712,大阪12区,大阪府,8,近畿
27,13,2713,大阪13区,大阪府,8,近畿
27,14,2714,大阪14区,大阪府,8,近畿
27,15,2715,大阪15区,大阪府,8,近畿
27,16,2716,大阪16区,大阪府,8,近畿
27,17,2717,大阪17区,大阪府,8,近畿
27,18,2718,大阪18区,大阪府,8,近畿
27,19,2719,大阪19区,大阪府,8,近畿
28,1,2801,兵庫1区,兵庫県,8,近畿
28,2,2802,兵庫2区,兵庫県,8,近畿
28,3,2803,兵庫3区,兵庫県,8,近畿
28,4,2804,兵庫4区,兵庫県,8,近畿
28,5,2805,兵庫5区,兵庫県,8,近畿
28,6,2806,兵庫6区,兵庫県,8,近畿
28,7,2807,兵庫7区,兵庫県,8,近畿
28,8,2808,兵庫8区,兵庫県,8,近畿
28,9,2809,兵庫9区,兵庫県,8,近畿
28,10,2810,兵庫10区,兵庫県,8,近畿
28,11,2811,兵庫11区,兵庫県,8,近畿
28,12,2812,兵庫12区,兵庫県,8,近畿
29,1,2901,奈良1区,奈良県,8,近畿
29,2,2902,奈良2区,奈良県,8,近畿
29,3,2903,奈良3区,奈良県,8,近畿
30,1,3001,和歌山1区,和歌山県,8,近畿
30,2,3002,和歌山2区,和歌山県,8,近畿
31,1,3101,鳥取1区,鳥取県,9,中国
31,2,3102,鳥取2区,鳥取県,9,中国
32,1,3201,島根1区,島根県,9,中国
32,2,3202,島根2区,島根県,9,中国
33,1,3301,岡山1区,岡山県,9,中国
33,2,3302,岡山2区,岡山県,9,中国
