idx,muni_code,muni_name,pref_name
194,02201,青森市,青森県
195,02202,弘前市,青森県
196,02203,八戸市,青森県
197,02204,黒石市,青森県
198,02205,五所川原市,青森県
199,02206,十和田市,青森県
200,02207,三沢市,青森県
201,02208,むつ市,青森県
202,02209,つがる市,青森県
203,02210,平川市,青森県
204,02301,平内町,青森県
205,02303,今別町,青森県
206,02304,蓬田村,青森県
207,02307,外ヶ浜町,青森県
208,02321,鰺ヶ沢町,青森県
209,02323,深浦町,青森県
210,02343,西目屋村,青森県
211,02361,藤崎町,青森県
212,02362,大鰐町,青森県
213,02367,田舎館村,青森県
214,02381,板柳町,青森県
215,02384,鶴田町,青森県
216,02387,中泊町,青森県
217,02401,野辺地町,青森県
218,02402,七戸町,青森県
219,02405,六戸町,青森県
220,02406,横浜町,青森県
221,02408,東北町,青森県
222,02411,六ヶ所村,青森県
223,02412,おいらせ町,青森県
224,02423,大間町,青森県
225,02424,東通村,青森県
226,02425,風間浦村,青森県
227,02426,佐井村,青森県
228,02441,三戸町,青森県
229,02442,五戸町,青森県
230,02443,田子町,青森県
231,02445,南部町,青森県
232,02446,階上町,青森県
233,02450,新郷村,青森県
234,03201,盛岡市,岩手県
235,03202,宮古市,岩手県
236,03203,大船渡市,岩手県
237,03205,花巻市,岩手県
238,03206,北上市,岩手県
239,03207,久慈市,岩手県
240,03208,遠野市,岩手県
241,03209,一関市,岩手県
242,03210,陸前高田市,岩手県
243,03211,釜石市,岩手県
244,03213,二戸市,岩手県
245,03214,八幡平市,岩手県
246,03215,奥州市,岩手県
247,03216,滝沢市,岩手県
248,03301,雫石町,岩手県
249,03302,葛巻町,岩手県
250,03303,岩手町,岩手県
251,03321,紫波町,岩手県
252,03322,矢巾町,岩手県
253,03366,西和賀町,岩手県
254,03381,金ケ崎町,岩手県
255,03402,平泉町,岩手県
256,03441,住田町,岩手県
257,03461,大槌町,岩手県
258,03482,山田町,岩手県
259,03483,岩泉町,岩手県
260,03484,田野畑村,岩手県
261,03485,普代村,岩手県
262,03501,軽米町,岩手県
263,03503,野田村,岩手県
264,03506,九戸村,岩手県
265,03507,洋野町,岩手県
266,03524,一戸町,岩手県
267,04101,仙台市青葉区,宮城県
268,04102,仙台市宮城野区,宮城県
269,04103,仙台市若林区,宮城県
270,04104,仙台市太白区,宮城県
271,04105,仙台市泉区,宮城県
272,04202,石巻市,宮城県
273,04203,塩竈市,宮城県
274,04205,気仙沼市,宮城県
275,04206,白石市,宮城県
276,04207,名取市,宮城県
277,04208,角田市,宮城県
278,04209,多賀城市,宮城県
279,04211,岩沼市,宮城県
280,04212,登米市,宮城県
281,04213,栗原市,宮城県
282,04214,東松島市,宮城県
283,04215,大崎市,宮城県
284,04216,富谷市,宮城県
285,04301,蔵王町,宮城県
286,04302,七ヶ宿町,宮城県
287,04321,大河原町,宮城県
288,04322,村田町,宮城県
289,04323,柴田町,宮城県
290,04324,川崎町,宮城県
291,04341,丸森町,宮城県
292,04361,亘理町,宮城県
293,04362,山元町,宮城県
294,04401,松島町,宮城県
295,04404,七ヶ浜町,宮城県
296,04406,利府町,宮城県
297,04421,大和町,宮城県
298,04422,大郷町,宮城県
299,04424,大衡村,宮城県
300,04444,色麻町,宮城県
301,04445,加美町,宮城県
302,04501,涌谷町,宮城県
303,04505,美里町,宮城県
304,04581,女川町,宮城県
305,04606,南三陸町,宮城県
306,05201,秋田市,秋田県
307,05202,能代市,秋田県
308,05203,横手市,秋田県
309,05204,大館市,秋田県
310,05206,男鹿市,秋田県
311,05207,湯沢市,秋田県
312,05209,鹿角市,秋田県
313,05210,由利本荘市,秋田県
314,05211,潟上市,秋田県
315,05212,大仙市,秋田県
316,05213,北秋田市,秋田県
317,05214,にかほ市,秋田県
318,05215,仙北市,秋田県
319,05303,小坂町,秋田県
320,05327,上小阿仁村,秋田県
321,05346,藤里町,秋田県
322,05348,三種町,秋田県
323,05349,八峰町,秋田県
324,05361,五城目町,秋田県
325,05363,八郎潟町,秋田県
326,05366,井川町,秋田県
327,05368,大潟村,秋田県
328,05434,美郷町,秋田県
329,05463,羽後町,秋田県
330,05464,東成瀬村,秋田県
331,06201,山形市,山形県
332,06202,米沢市,山形県
333,06203,鶴岡市,山形県
334,06204,酒田市,山形県
335,06205,新庄市,山形県
336,06206,寒河江市,山形県
337,06207,上山市,山形県
338,06208,村山市,山形県
339,06209,長井市,山形県
340,06210,天童市,山形県
341,06211,東根市,山形県
342,06212,尾花沢市,山形県
343,06213,南陽市,山形県
344,06301,山辺町,山形県
345,06302,中山町,山形県
346,06321,河北町,山形県
347,06322,西川町,山形県
348,06323,朝日町,山形県
349,06324,大江町,山形県
350,06341,大石田町,山形県
351,06361,金山町,山形県
352,06362,最上町,山形県
353,06363,舟形町,山形県
354,06364,真室川町,山形県
355,06365,大蔵村,山形県
356,06366,鮭川村,山形県
357,06367,戸沢村,山形県
358,06381,高畠町,山形県
359,06382,川西町,山形県
360,06401,小国町,山形県
361,06402,白鷹町,山形県
362,06403,飯豊町,山形県
363,06426,三川町,山形県
364,06428,庄内町,山形県
365,06461,遊佐町,山形県
366,07201,福島市,福島県
367,07202,会津若松市,福島県
368,07203,郡山市,福島県
369,07204,いわき市,福島県
370,07205,白河市,福島県
371,07207,須賀川市,福島県
372,07208,喜多方市,福島県
373,07209,相馬市,福島県
374,07210,二本松市,福島県
375,07211,田村市,福島県
376,07212,南相馬市,福島県
377,07213,伊達市,福島県
378,07214,本宮市,福島県
379,07301,桑折町,福島県
380,07303,国見町,福島県
381,07308,川俣町,福島県
382,07322,大玉村,福島県
383,07342,鏡石町,福島県
