kucode,kuname,pref_code,pref_name,block_id,block_name,pop_total,pct_elderly_65,pct_child_under15,pct_child_under5,pct_foreign,pct_working_age_3044,pct_college,pct_primary_ind,pct_tertiary_ind,pct_secondary_ind,pct_ict_industry,female_labor_participation,pct_owner_occupied,pct_apartment,pct_commute_other_pref,pct_single_hh,avg_hh_size,pct_married,pct_nuclear_with_child,pct_single_parent,pct_hh_with_child_under6,pct_hh_with_child_under18,nursery_ratio
101,北海道1区,1,北海道,1,北海道,527598,0.2754123404561806,0.09989992380562474,0.030985712606946957,0.007465911546290926,0.18194724013358657,0.3041802037223119,0.004565942221881331,0.8608605808492111,0.10122675858708452,0.04543834398870245,0.514485907731066,0.49290419922020884,0.7284549080533604,0.0028914533918153558,0.4869316186797753,1.9258142582338362,0.5598649694270401,0.18123463834269662,0.0802792895599251,0.057759831460674156,0.14678795060861424,0.5989512702287316
102,北海道2区,1,北海道,1,北海道,546641,0.26398678474538134,0.1149438113862663,0.035138235148845405,0.007344857045117362,0.18609837169184162,0.2218418054388731,0.005148065530139855,0.80086327130348,0.1594876672481521,0.03444981382513638,0.5267635410223507,0.48013935667274354,0.593528875567778,0.0019048914892169535,0.43505954133913266,2.0599977389207114,0.5625506008783634,0.22011794999584683,0.09158870036019301,0.06934281766078428,0.17567526750183118,0.6452341645668607
103,北海道3区,1,北海道,1,北海道,530444,0.26034416451123965,0.10907277676814141,0.03419965161261132,0.0057630965756988485,0.19571151714412832,0.2390930165169516,0.0043214137196311364,0.8294027617606331,0.13424677501639823,0.0450618845307965,0.5433548959622615,0.4533076255663742,0.6909052347440471,0.0024420921951060146,0.4504792090877838,2.0007694628847315,0.5584837603782475,0.20484535731960243,0.09022806348150975,0.06592572164695304,0.16464241595424375,0.5733594166814867
104,北海道4区,1,北海道,1,北海道,480342,0.33777808311578,0.1082353822901183,0.03056572192312977,0.007263574703024096,0.16126426587722914,0.1689630062012726,0.0450629174932674,0.7513249571125998,0.17614502170725396,0.01807021074724706,0.48255324908874686,0.641417903321301,0.3924778930078878,0.002222998507415288,0.3592073808284547,2.2055383880728594,0.5783482289265213,0.23102859011621213,0.1012284491692883,0.06438418630788151,0.1738667821264561,0.6115746683782627
105,北海道5区,1,北海道,1,北海道,510595,0.2983303792634084,0.11370459953583564,0.03215856011124277,0.005855913199306691,0.16483122631439792,0.1977400340029529,0.030392208383695062,0.7702366563315641,0.1698285073659502,0.023183912274248077,0.49074419697786625,0.6175968070420033,0.4215269519735014,0.0023669641165014093,0.3391859111628444,2.2620724791777422,0.5915635671627795,0.25494255528997806,0.09911322783291719,0.06963116319984361,0.18998071848093617,0.5168949771689497
106,北海道6区,1,北海道,1,北海道,481953,0.34731602459160954,0.10609748253460399,0.03068763966610852,0.004736976427161985,0.15795938608121537,0.13011147370078568,0.08399050984982866,0.7417017036696141,0.15317835137683133,0.0074080362448673215,0.4894917022893077,0.6141605859680457,0.34235914140689705,0.001303578111661978,0.3849445232671074,2.1481905746747314,0.5819343153827577,0.20528852824412447,0.09394119779614818,0.06221718950708732,0.16748199635675187,0.6702464968804337
107,北海道7区,1,北海道,1,北海道,294384,0.33340127180825047,0.10553223001250069,0.02974686124245883,0.007887656937877059,0.15929194521441384,0.1067351491180385,0.12650515225193934,0.6714136853073984,0.18106692138474006,0.004580583535949982,0.5059401335446082,0.6074758618613647,0.3212272634913946,0.0014910809993678366,0.3933180811272107,2.1316727009413468,0.5758980393721204,0.1938410139085594,0.09692413843192794,0.06055125830700512,0.16534117732505357,0.6017933564295904
108,北海道8区,1,北海道,1,北海道,413767,0.3625881232674428,0.09653500641665479,0.02673485319032209,0.006170139232949946,0.1494295098449127,0.11601421657786662,0.07857350112301592,0.7070003116503498,0.1872696205388327,0.008403812880831354,0.48098464942608216,0.6270837675907664,0.3283948241858675,0.005417822025313866,0.39389680579524433,2.127708699721288,0.5523526705424735,0.18882080004960267,0.10369539831970982,0.05489361262387748,0.15470863603013363,0.6275593110172246
109,北海道9区,1,北海道,1,北海道,445726,0.3452457339262237,0.10715103000498064,0.030823869372663924,0.006802385321924231,0.15881954384532201,0.11385371205075004,0.08999380268943605,0.6692849484049304,0.21855356738837464,0.005671031016063822,0.47728841207102074,0.5982461950638399,0.3431634726128629,0.0018129028349326336,0.4021810344009039,2.107571115146013,0.5743659593157773,0.2009267259796614,0.08764491962361252,0.06132913014992831,0.16321676462489437,0.5914701344500771
110,北海道10区,1,北海道,1,北海道,325014,0.40018583814851055,0.08887309469745919,0.02457740281957085,0.004301353172478724,0.13525571206163428,0.10314804972335552,0.13565108900530584,0.6615799464720521,0.18295423293377425,0.004829589283678001,0.46291205142508035,0.6536588415926191,0.26841926093692464,0.001292890370501819,0.37086446826943903,2.190254125924079,0.568983708516413,0.19032921810699588,0.09381091617933723,0.05020170023824994,0.14189408706952567,0.6591115140525838
111,北海道11区,1,北海道,1,北海道,332648,0.3174256270892956,0.11648349005555422,0.03363314975589813,0.005768860777759073,0.1669662826771843,0.13634896364254162,0.1434585958173549,0.654534535285985,0.1654978698913363,0.005867964541979719,0.5400444978867104,0.6064982435360782,0.2981950819010189,0.0010421084519842473,0.3839955452192997,2.1717710502777976,0.5973616278862758,0.21403911035408957,0.08669134265780078,0.06864292967342527,0.18127681876248813,0.7556256270603411
